sequence_id,step,state_0,state_mean,target,state_std,aleatoric_unc,epistemic_unc,weight
23,0,-0.077405,-1.977526,0.353516,4.47241650e-4,4.47241650e-4,4.47241650e-4,2.235923e3
24,0,-1.066078,-1.580806,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
25,0,1.616544,-1.546191,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
26,0,1.929542,0.431402,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
27,0,1.165760,0.727680,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
28,0,-0.598002,1.283588,0.021485,4.11386897e-5,4.11386897e-5,4.11386897e-5,2.430743e4
29,0,1.617783,-0.844957,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
30,0,-0.330826,-0.350627,0.140625,2.36493029e-4,2.36493029e-4,2.36493029e-4,4.228437e3
31,0,1.138324,-0.532105,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
32,0,1.351443,0.745145,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
33,0,-0.104179,0.872361,0.345703,4.42643148e-4,4.42643148e-4,4.42643148e-4,2.259151e3
34,0,0.929699,-0.500671,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
35,0,1.120104,0.593725,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
36,0,-1.139092,1.918120,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
37,0,-0.985991,-0.887195,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
38,0,0.198827,0.692520,0.771484,3.44998630e-4,3.44998630e-4,3.44998630e-4,2.898554e3
39,0,1.194633,-1.358977,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
40,0,-1.059379,1.064230,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
41,0,-1.357416,1.707565,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
42,0,-1.766635,0.224899,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
43,0,1.987079,1.107279,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
44,0,-1.917818,1.115795,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
45,0,-1.057926,-1.599069,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
46,0,0.737389,-1.373864,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
47,0,0.167801,0.814744,0.722657,3.92214490e-4,3.92214490e-4,3.92214490e-4,2.549619e3
48,0,1.660903,-0.716985,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
49,0,1.699780,1.550918,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
50,0,0.469532,-1.656931,0.945312,1.01164463e-4,1.01164463e-4,1.01164463e-4,9.884796e3
51,0,0.835456,1.281414,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
52,0,-0.431273,-1.178430,0.060547,1.11309973e-4,1.11309973e-4,1.11309973e-4,8.983840e3
53,0,1.684479,-0.945318,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
54,0,1.646609,0.038329,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
55,0,1.155321,0.395210,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
56,0,-0.521989,1.268130,0.041014,7.69634243e-5,7.69634243e-5,7.69634243e-5,1.299302e4
57,0,0.480795,-0.124578,0.960937,7.34539477e-5,7.34539477e-5,7.34539477e-5,1.361379e4
58,0,-0.547107,-1.426323,0.048828,9.08824252e-5,9.08824252e-5,9.08824252e-5,1.100311e4
59,0,-1.834562,-0.385600,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
60,0,-0.164637,-1.183396,0.240235,3.57182189e-4,3.57182189e-4,3.57182189e-4,2.799684e3
61,0,-0.114699,0.664945,0.330078,4.32728620e-4,4.32728620e-4,4.32728620e-4,2.310912e3
62,0,0.332982,-1.849436,0.890625,1.90627246e-4,1.90627246e-4,1.90627246e-4,5.245812e3
63,0,-1.718690,-1.020229,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
64,0,-0.093505,0.100252,0.328125,4.31423156e-4,4.31423156e-4,4.31423156e-4,2.317905e3
65,0,1.631457,-1.938159,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
66,0,1.668320,-0.586645,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
67,0,-1.527800,0.860689,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
68,0,-0.004203,-1.640113,0.476563,4.88157959e-4,4.88157959e-4,4.88157959e-4,2.048513e3
69,0,-1.726630,1.238287,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
70,0,-1.229392,1.592894,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
71,0,-0.414227,-0.897873,0.070313,1.27920414e-4,1.27920414e-4,1.27920414e-4,7.817299e3
72,0,1.874105,-1.761344,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
73,0,1.733782,-0.646946,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
74,0,-1.221840,0.190591,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
75,0,0.329240,0.391328,0.900391,1.75509853e-4,1.75509853e-4,1.75509853e-4,5.697653e3
76,0,-0.484007,0.298697,0.027344,1.99552752e-4,1.99552752e-4,1.99552752e-4,5.011181e3
77,0,0.949806,0.258916,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
78,0,0.921262,1.324251,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
79,0,-1.258138,1.880989,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
80,0,-0.940095,1.835929,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
81,0,-0.506208,0.197569,0.042968,8.04692028e-5,8.04692028e-5,8.04692028e-5,1.242696e4
82,0,0.634670,0.447488,0.976563,4.47852342e-5,4.47852342e-5,4.47852342e-5,2.232829e4
83,0,-0.954113,-0.946568,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
84,0,-1.872095,-1.092991,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
85,0,-0.385075,0.088779,0.101563,1.78563437e-4,1.78563437e-4,1.78563437e-4,5.600219e3
86,0,-1.194788,-0.793328,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
87,0,0.889321,1.076953,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
88,0,-0.766250,-0.415255,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
89,0,0.093496,1.938456,0.642497,6.58028071e-4,6.58028071e-4,6.58028071e-4,1.519690e3
90,0,-0.049744,-0.697029,0.410156,4.73436688e-4,4.73436688e-4,4.73436688e-4,2.112210e3
91,0,1.847425,-0.786954,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
92,0,-1.714460,-1.080789,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
93,0,-0.549281,0.478724,0.017579,3.37925867e-5,3.37925867e-5,3.37925867e-5,2.959141e4
94,0,0.585134,0.640627,0.982422,3.37904595e-5,3.37904595e-5,3.37904595e-5,2.959328e4
95,0,-0.332974,-0.618824,0.097654,1.72434005e-4,1.72434005e-4,1.72434005e-4,5.799287e3
96,0,0.143617,-0.270525,0.693015,6.14415745e-4,6.14415745e-4,6.14415745e-4,1.627560e3
97,0,0.968619,-1.789806,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
98,0,-0.577861,0.441602,0.023437,4.47852342e-5,4.47852342e-5,4.47852342e-5,2.232829e4
99,0,1.822499,0.503482,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
100,0,0.817760,0.281785,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
101,0,0.101823,1.360955,0.679688,4.26047764e-4,4.26047764e-4,4.26047764e-4,2.347149e3
102,0,0.940277,1.860992,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
103,0,0.560948,-0.196568,0.970704,5.56456533e-5,5.56456533e-5,5.56456533e-5,1.797053e4
104,0,-0.546144,-0.246264,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
105,0,-1.272623,-0.622050,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
106,0,-0.167535,0.454924,0.279297,3.93910314e-4,3.93910314e-4,3.93910314e-4,2.538642e3
107,0,-1.604503,1.759930,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
108,0,1.234394,1.106682,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
109,0,-1.721156,0.556238,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
110,0,1.039240,-1.275293,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
111,0,-1.711827,1.252124,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
112,0,-1.702840,-0.864847,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
113,0,-1.016905,-1.417707,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
114,0,0.091450,-1.517832,0.681641,4.24666722e-4,4.24666722e-4,4.24666722e-4,2.354782e3
115,0,1.415983,-0.141060,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
116,0,1.718857,-1.353641,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
117,0,-0.995597,1.731600,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
118,0,-0.006419,-0.115953,0.533203,4.87075463e-4,4.87075463e-4,4.87075463e-4,2.053066e3
119,0,0.546597,0.722291,0.966797,6.28152452e-5,6.28152452e-5,6.28152452e-5,1.591945e4
120,0,-0.998140,-1.643794,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
121,0,0.484298,-1.758413,0.953125,8.74281132e-5,8.74281132e-5,8.74281132e-5,1.143784e4
122,0,1.588830,-0.492622,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
123,0,-0.645017,0.024411,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
124,0,-0.424036,-0.342685,0.076172,1.37705198e-4,1.37705198e-4,1.37705198e-4,7.261837e3
125,0,0.693067,-1.595272,0.992187,1.51686977e-5,1.51686977e-5,1.51686977e-5,6.592089e4
126,0,-0.143275,0.798133,0.263673,3.79936302e-4,3.79936302e-4,3.79936302e-4,2.632013e3
127,0,-1.013979,1.131974,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
128,0,1.779330,-1.842167,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
129,0,1.079828,-0.673307,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
130,0,1.679368,1.936632,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
131,0,-1.251674,-1.723692,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
132,0,1.824501,0.749386,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
133,0,-1.163422,-1.161354,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
134,0,0.712558,-0.926431,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
135,0,0.408414,-0.512114,0.931641,1.24626675e-4,1.24626675e-4,1.24626675e-4,8.023900e3
136,0,0.966612,0.425716,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
137,0,-1.786906,-1.419848,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
138,0,1.461128,-0.214529,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
139,0,0.379638,-1.370818,0.916015,1.50546859e-4,1.50546859e-4,1.50546859e-4,6.642406e3
140,0,0.763181,-0.590634,0.998046,3.81421003e-6,3.81421003e-6,3.81421003e-6,2.621088e5
141,0,0.829770,0.834668,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
142,0,-0.631552,-1.819751,0.037267,2.83837120e-4,2.83837120e-4,2.83837120e-4,3.523135e3
143,0,-0.370862,-0.789018,0.097656,1.72441223e-4,1.72441223e-4,1.72441223e-4,5.799044e3
144,0,-1.757443,-1.172453,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
145,0,1.232749,0.495297,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
146,0,-1.095573,1.345799,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
147,0,1.346462,1.751384,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
148,0,-0.900638,-0.895051,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
149,0,0.775052,0.014594,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
150,0,1.426814,1.624161,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
151,0,1.468111,1.645343,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
152,0,-1.914514,-0.599976,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
153,0,-0.374334,1.913458,0.074217,1.34453736e-4,1.34453736e-4,1.34453736e-4,7.437447e3
154,0,1.491507,1.039772,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
155,0,-1.291526,-0.657142,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
156,0,0.038252,0.755151,0.525391,4.87971332e-4,4.87971332e-4,4.87971332e-4,2.049297e3
157,0,0.377449,-1.358680,0.906251,1.66256740e-4,1.66256740e-4,1.66256740e-4,6.014758e3
158,0,-0.157420,-0.091015,0.246094,3.63071387e-4,3.63071387e-4,3.63071387e-4,2.754272e3
159,0,-1.765202,-1.565010,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
160,0,-1.376742,0.074278,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
161,0,-1.114859,-0.596606,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
162,0,-1.487202,1.132794,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
163,0,-1.335546,0.959892,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
164,0,-0.899377,1.242673,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
165,0,0.278510,-0.737381,0.867187,2.25385668e-4,2.25385668e-4,2.25385668e-4,4.436820e3
166,0,-1.660025,-0.574549,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
167,0,1.570123,-0.045928,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
168,0,0.708767,1.292964,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
169,0,1.271413,-1.818345,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
170,0,-1.852006,-1.516062,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
171,0,-1.994304,1.148789,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
172,0,-1.305588,1.581031,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
173,0,0.997120,-1.605504,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
174,0,-1.632321,-0.395626,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
175,0,1.250902,0.551993,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
176,0,1.594189,-1.256062,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
177,0,1.221183,-0.771137,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
178,0,-0.698192,1.457594,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
179,0,-1.947547,-0.402007,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
180,0,-1.499181,1.245077,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
181,0,-1.502619,1.971681,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
182,0,0.072163,-0.006015,0.576172,4.77878380e-4,4.77878380e-4,4.77878380e-4,2.092578e3
183,0,0.109261,-0.307708,0.664063,4.36558614e-4,4.36558614e-4,4.36558614e-4,2.290638e3
184,0,-0.482329,1.856945,0.042967,8.04641367e-5,8.04641367e-5,8.04641367e-5,1.242774e4
185,0,-0.929841,-0.864295,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
186,0,-1.251435,1.891314,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
187,0,0.069090,0.110401,0.578125,4.77288524e-4,4.77288524e-4,4.77288524e-4,2.095164e3
188,0,-1.348057,-1.387827,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
189,0,-1.990219,0.840622,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
190,0,1.516535,-0.490557,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
191,0,-1.848298,0.233484,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
192,0,-1.207876,-0.400760,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
193,0,-1.491237,-0.840427,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
194,0,0.135219,1.018108,0.681641,4.24666608e-4,4.24666608e-4,4.24666608e-4,2.354783e3
195,0,0.226515,-0.053350,0.802734,3.09882728e-4,3.09882728e-4,3.09882728e-4,3.227017e3
196,0,0.394411,1.731574,0.914062,1.53719033e-4,1.53719033e-4,1.53719033e-4,6.505333e3
197,0,-0.447230,0.961234,0.041016,7.69698835e-5,7.69698835e-5,7.69698835e-5,1.299193e4
198,0,-0.287359,0.862038,0.134766,2.28184627e-4,2.28184627e-4,2.28184627e-4,4.382397e3
199,0,-0.618421,-0.938743,0.025390,4.84203023e-5,4.84203023e-5,4.84203023e-5,2.065207e4
200,0,0.545483,1.117486,0.982421,3.37932950e-5,3.37932950e-5,3.37932950e-5,2.959079e4
201,0,1.324943,1.047130,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
202,0,-1.192902,1.057507,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
203,0,-1.178341,-0.602633,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
204,0,1.441460,-0.079867,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
205,0,-0.296370,1.803877,0.130860,2.22570451e-4,2.22570451e-4,2.22570451e-4,4.492939e3
206,0,-1.990275,-0.078126,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
207,0,0.737066,-1.935036,0.996093,7.61349065e-6,7.61349065e-6,7.61349065e-6,1.313285e5
208,0,0.604576,-0.236653,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
209,0,1.598301,1.226436,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
210,0,0.702323,0.814550,0.994140,1.13978429e-5,1.13978429e-5,1.13978429e-5,8.772820e4
211,0,1.867522,-0.223075,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
212,0,-1.889023,-1.553772,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
213,0,0.917452,1.334345,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
214,0,0.732665,0.587988,0.998046,3.81421003e-6,3.81421003e-6,3.81421003e-6,2.621088e5
215,0,1.292809,-1.347559,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
216,0,1.972940,0.150733,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
217,0,-0.508163,1.165007,0.033202,6.28112906e-5,6.28112906e-5,6.28112906e-5,1.592045e4
218,0,-0.045373,1.410202,0.427734,4.79012889e-4,4.79012889e-4,4.79012889e-4,2.087622e3
219,0,-1.804553,-0.792091,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
220,0,1.188698,0.227166,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
221,0,-0.178199,1.354534,0.246652,5.59448712e-4,5.59448712e-4,5.59448712e-4,1.787471e3
222,0,0.712675,0.849229,0.992187,1.51682212e-5,1.51682212e-5,1.51682212e-5,6.592296e4
223,0,-1.039816,-0.482349,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
224,0,1.372748,0.865437,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
225,0,-1.625917,0.081854,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
226,0,-1.285466,-1.544597,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
227,0,-0.045333,0.503488,0.414063,4.74780441e-4,4.74780441e-4,4.74780441e-4,2.106232e3
228,0,0.054785,0.933903,0.582031,4.76064483e-4,4.76064483e-4,4.76064483e-4,2.100551e3
229,0,1.492891,-1.855189,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
230,0,1.926883,-1.106025,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
231,0,-1.720517,0.118274,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
232,0,1.118289,-0.486363,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
233,0,0.069240,1.412550,0.615885,8.83036679e-4,8.83036679e-4,8.83036679e-4,1.132455e3
234,0,1.772234,-1.443733,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
235,0,-0.572241,1.243419,0.013672,2.63876285e-5,2.63876285e-5,2.63876285e-5,3.789511e4
236,0,-1.979539,0.137940,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
237,0,-0.551671,1.772768,0.025390,4.84203023e-5,4.84203023e-5,4.84203023e-5,2.065207e4
238,0,-1.347498,0.000489,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
239,0,-1.119673,0.003147,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
240,0,-1.460889,-1.124864,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
241,0,0.782963,-1.479146,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
242,0,-0.980547,-0.253581,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
243,0,-1.457810,-1.515696,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
244,0,0.637787,-1.423217,0.982421,3.37925867e-5,3.37925867e-5,3.37925867e-5,2.959141e4
245,0,0.858675,-0.525554,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
246,0,-1.578888,-1.869165,0.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
247,0,0.406306,-1.913830,0.929687,1.27919502e-4,1.27919502e-4,1.27919502e-4,7.817355e3
248,0,0.098640,-0.265847,0.638672,4.51601052e-4,4.51601052e-4,4.51601052e-4,2.214339e3
249,0,-0.153208,-0.637721,0.293403,6.17482139e-4,6.17482139e-4,6.17482139e-4,1.619477e3
250,0,1.105260,0.043792,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
251,0,1.955477,-1.735242,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
252,0,0.242363,1.323274,0.811419,5.14675497e-4,5.14675497e-4,5.14675497e-4,1.942968e3
253,0,-0.033512,-1.145788,0.476562,4.88157547e-4,4.88157547e-4,4.88157547e-4,2.048515e3
254,0,-0.373399,1.706627,0.055556,3.11056484e-4,3.11056484e-4,3.11056484e-4,3.214840e3
255,0,0.977856,1.395615,1.000000,1.00000000e-12,1.00000000e-12,1.00000000e-12,1.000000e6
256,0,-0.080549,-0.281098,0.359624,6.66745734e-4,6.66745734e-4,6.66745734e-4,1.499820e3
