sequence_id,step,margin,q_pred,obs_reliability,alpha_entropy,alpha_max,attention_argmax,collapse_temperature,state_mean,state_std,state_q10,state_q90,aleatoric_unc,epistemic_unc,target,calibrator_id
15,0,0.991211,0.729327,0.729327,0.557115,0.855789,22,0.829844,0.813601,0.000293317,0.813601,0.813601,0.000293317,0.000293317,1,identity
16,0,-0.00878686,0.497803,0.497803,1.78917,0.443523,22,0.829844,-0.218894,1e-12,-0.218894,-0.218894,1e-12,1e-12,0,identity
17,0,0.40413,0.59968,0.59968,3.13331,0.196634,24,0.829844,-1.04494,1e-12,-1.04494,-1.04494,1e-12,1e-12,0.353516,identity
18,0,-0.00175452,0.499561,0.499561,1.86602,0.434072,22,0.829844,-1.09487,0.000896933,-1.09487,-1.09487,0.000896933,0.000896933,0,identity
19,0,0.986322,0.728361,0.728361,0.598149,0.837917,22,0.829844,-1.00591,0.000307561,-1.00591,-1.00591,0.000307561,0.000307561,1,identity
20,0,0.992666,0.729614,0.729614,0.539755,0.861103,22,0.829844,0.791261,2.26613e-05,0.791261,0.791261,2.26613e-05,2.26613e-05,1,identity
21,0,0.119824,0.52992,0.52992,2.59467,0.312951,22,0.829844,-0.009261,1e-12,-0.009261,-0.009261,1e-12,1e-12,0.140625,identity
22,0,0.991186,0.729322,0.729322,0.557365,0.8557,22,0.829844,-0.57025,1e-12,-0.57025,-0.57025,1e-12,1e-12,1,identity
23,0,0.344442,0.585269,0.585269,3.21958,0.132184,24,0.829844,-1.97753,0.000447242,-1.97753,-1.97753,0.000447242,0.000447242,0.345703,identity
24,0,0.992632,0.729608,0.729608,0.52235,0.861867,22,0.829844,-1.58081,1e-12,-1.58081,-1.58081,1e-12,1e-12,1,identity
25,0,-0.00330913,0.499173,0.499173,1.84893,0.435834,22,0.829844,-1.54619,1e-12,-1.54619,-1.54619,1e-12,1e-12,0,identity
26,0,0.000130836,0.500033,0.500033,1.88631,0.432062,22,0.829844,0.431402,1e-12,0.431402,0.431402,1e-12,1e-12,0,identity
27,0,0.759718,0.681292,0.681292,1.14921,0.670938,24,0.829844,0.72768,1e-12,0.72768,0.72768,1e-12,1e-12,0.771484,identity
28,0,0.992363,0.729554,0.729554,0.544073,0.859972,22,0.829844,1.28359,4.11387e-05,1.28359,1.28359,4.11387e-05,4.11387e-05,1,identity
29,0,-0.00173736,0.499566,0.499566,1.86618,0.434054,22,0.829844,-0.844957,1e-12,-0.844957,-0.844957,1e-12,1e-12,0,identity
30,0,-0.00635194,0.498412,0.498412,1.81529,0.439733,22,0.829844,-0.350627,0.000236493,-0.350627,-0.350627,0.000236493,0.000236493,0,identity
31,0,-0.00984962,0.497538,0.497538,1.7783,0.445421,22,0.829844,-0.532105,1e-12,-0.532105,-0.532105,1e-12,1e-12,0,identity
32,0,0.985967,0.728291,0.728291,0.600724,0.836614,22,0.829844,0.745145,1e-12,0.745145,0.745145,1e-12,1e-12,1,identity
33,0,-0.0107893,0.497303,0.497303,1.76909,0.44724,22,0.829844,0.872361,0.000442643,0.872361,0.872361,0.000442643,0.000442643,0,identity
34,0,-0.0015765,0.499606,0.499606,1.86796,0.433877,22,0.829844,-0.500671,1e-12,-0.500671,-0.500671,1e-12,1e-12,0,identity
35,0,0.986913,0.728478,0.728478,0.533524,0.845851,22,0.829844,0.593725,1e-12,0.593725,0.593725,1e-12,1e-12,1,identity
36,0,0.988318,0.728756,0.728756,0.58286,0.845249,22,0.829844,1.91812,1e-12,1.91812,1.91812,1e-12,1e-12,1,identity
37,0,0.945564,0.720222,0.720222,0.697442,0.731525,22,0.829844,-0.887195,1e-12,-0.887195,-0.887195,1e-12,1e-12,0.945312,identity
38,0,0.99046,0.729179,0.729179,0.523266,0.855824,22,0.829844,0.69252,0.000344999,0.69252,0.69252,0.000344999,0.000344999,1,identity
39,0,0.988107,0.728714,0.728714,0.58455,0.844473,22,0.829844,-1.35898,1e-12,-1.35898,-1.35898,1e-12,1e-12,1,identity
40,0,0.992713,0.729623,0.729623,0.53902,0.861278,22,0.829844,1.06423,1e-12,1.06423,1.06423,1e-12,1e-12,1,identity
41,0,0.0379072,0.509476,0.509476,2.19647,0.395395,22,0.829844,1.70756,1e-12,1.70756,1.70756,1e-12,1e-12,0.041014,identity
42,0,0.94651,0.720413,0.720413,0.693949,0.734119,22,0.829844,0.224899,1e-12,0.224899,0.224899,1e-12,1e-12,0.960937,identity
43,0,0.0344736,0.508618,0.508618,2.1739,0.398755,22,0.829844,1.10728,1e-12,1.10728,1.10728,1e-12,1e-12,0.048828,identity
44,0,-0.0102852,0.497429,0.497429,1.774,0.446251,22,0.829844,1.1158,1e-12,1.1158,1.1158,1e-12,1e-12,0,identity
45,0,0.272803,0.567781,0.567781,3.13944,0.161942,22,0.829844,-1.59907,1e-12,-1.59907,-1.59907,1e-12,1e-12,0.240235,identity
46,0,0.330351,0.581845,0.581845,3.21864,0.119472,24,0.829844,-1.37386,1e-12,-1.37386,-1.37386,1e-12,1e-12,0.330078,identity
47,0,0.884912,0.707839,0.707839,0.881122,0.56403,22,0.829844,0.814744,0.000392214,0.814744,0.814744,0.000392214,0.000392214,0.890625,identity
48,0,-0.00951462,0.497621,0.497621,1.7817,0.444808,22,0.829844,-0.716985,1e-12,-0.716985,-0.716985,1e-12,1e-12,0,identity
49,0,0.365671,0.590412,0.590412,3.20602,0.153054,24,0.829844,1.55092,1e-12,1.55092,1.55092,1e-12,1e-12,0.328125,identity
50,0,0.988265,0.728745,0.728745,0.583287,0.845054,22,0.829844,-1.65693,0.000101164,-1.65693,-1.65693,0.000101164,0.000101164,1,identity
51,0,-0.00803324,0.497992,0.497992,1.79709,0.442269,22,0.829844,1.28141,1e-12,1.28141,1.28141,1e-12,1e-12,0,identity
52,0,0.0751438,0.518777,0.518777,2.40194,0.358093,22,0.829844,-1.17843,0.00011131,-1.17843,-1.17843,0.00011131,0.00011131,0.070313,identity
53,0,0.986587,0.728413,0.728413,0.596206,0.838884,22,0.829844,-0.945318,1e-12,-0.945318,-0.945318,1e-12,1e-12,1,identity
54,0,-0.00457809,0.498855,0.498855,1.83492,0.437375,22,0.829844,0.038329,1e-12,0.038329,0.038329,1e-12,1e-12,0,identity
55,0,0.0484017,0.512098,0.512098,2.26097,0.384959,22,0.829844,0.39521,1e-12,0.39521,0.39521,1e-12,1e-12,0.027344,identity
56,0,0.992357,0.729553,0.729553,0.521692,0.861125,22,0.829844,1.26813,7.69634e-05,1.26813,1.26813,7.69634e-05,7.69634e-05,1,identity
57,0,-0.00513077,0.498717,0.498717,1.82877,0.438079,22,0.829844,-0.124578,7.34539e-05,-0.124578,-0.124578,7.34539e-05,7.34539e-05,0,identity
58,0,0.00125644,0.500314,0.500314,1.89816,0.430913,22,0.829844,-1.42632,9.08824e-05,-1.42632,-1.42632,9.08824e-05,9.08824e-05,0,identity
59,0,0.0424725,0.510617,0.510617,2.22532,0.39086,22,0.829844,-0.3856,1e-12,-0.3856,-0.3856,1e-12,1e-12,0.042968,identity
60,0,0.976734,0.72646,0.72646,0.573186,0.81751,22,0.829844,-1.1834,0.000357182,-1.1834,-1.1834,0.000357182,0.000357182,0.976563,identity
61,0,0.00103765,0.500259,0.500259,1.89589,0.431131,22,0.829844,0.664945,0.000432729,0.664945,0.664945,0.000432729,0.000432729,0,identity
62,0,-0.0105132,0.497372,0.497372,1.77179,0.446697,22,0.829844,-1.84944,0.000190627,-1.84944,-1.84944,0.000190627,0.000190627,0,identity
63,0,0.991863,0.729456,0.729456,0.521431,0.85976,22,0.829844,-1.02023,1e-12,-1.02023,-1.02023,1e-12,1e-12,1,identity
64,0,0.00900769,0.502252,0.502252,1.97456,0.423377,22,0.829844,0.100252,0.000431423,0.100252,0.100252,0.000431423,0.000431423,0,identity
65,0,0.986839,0.728463,0.728463,0.594322,0.839817,22,0.829844,-1.93816,1e-12,-1.93816,-1.93816,1e-12,1e-12,1,identity
66,0,-0.00948442,0.497629,0.497629,1.78201,0.444753,22,0.829844,-0.586645,1e-12,-0.586645,-0.586645,1e-12,1e-12,0,identity
67,0,0.969252,0.72497,0.72497,0.60418,0.796829,22,0.829844,0.860689,1e-12,0.860689,0.860689,1e-12,1e-12,0.982422,identity
68,0,0.119024,0.529721,0.529721,2.59148,0.313756,22,0.829844,-1.64011,0.000488158,-1.64011,-1.64011,0.000488158,0.000488158,0.097654,identity
69,0,0.992989,0.729678,0.729678,0.524688,0.862771,22,0.829844,1.23829,1e-12,1.23829,1.23829,1e-12,1e-12,1,identity
70,0,0.0277817,0.506945,0.506945,2.12741,0.405335,22,0.829844,1.59289,1e-12,1.59289,1.59289,1e-12,1e-12,0.023437,identity
71,0,0.98711,0.728517,0.728517,0.592275,0.840818,22,0.829844,-0.897873,0.00012792,-0.897873,-0.897873,0.00012792,0.00012792,1,identity
72,0,0.990131,0.729114,0.729114,0.523991,0.854897,22,0.829844,-1.76134,1e-12,-1.76134,-1.76134,1e-12,1e-12,1,identity
73,0,0.992541,0.72959,0.72959,0.52206,0.861626,22,0.829844,-0.646946,1e-12,-0.646946,-0.646946,1e-12,1e-12,1,identity
74,0,0.965919,0.724305,0.724305,0.6179,0.787639,22,0.829844,0.190591,1e-12,0.190591,0.190591,1e-12,1e-12,0.970704,identity
75,0,0.033847,0.508461,0.508461,2.16968,0.399384,22,0.829844,0.391328,0.00017551,0.391328,0.391328,0.00017551,0.00017551,0,identity
76,0,-0.0052664,0.498683,0.498683,1.82731,0.43826,22,0.829844,0.298697,0.000199553,0.298697,0.298697,0.000199553,0.000199553,0,identity
77,0,-0.00868126,0.49783,0.49783,1.79023,0.443337,22,0.829844,0.258916,1e-12,0.258916,0.258916,1e-12,1e-12,0,identity
78,0,0.992206,0.729523,0.729523,0.546051,0.859407,22,0.829844,1.32425,1e-12,1.32425,1.32425,1e-12,1e-12,1,identity
79,0,-0.00954114,0.497615,0.497615,1.7814,0.444852,22,0.829844,1.88099,1e-12,1.88099,1.88099,1e-12,1e-12,0,identity
80,0,0.993105,0.729701,0.729701,0.529615,0.862879,22,0.829844,1.83593,1e-12,1.83593,1.83593,1e-12,1e-12,1,identity
81,0,-0.00947955,0.49763,0.49763,1.78201,0.444738,22,0.829844,0.197569,8.04692e-05,0.197569,0.197569,8.04692e-05,8.04692e-05,0,identity
82,0,-0.00940323,0.497649,0.497649,1.78283,0.444606,22,0.829844,0.447488,4.47852e-05,0.447488,0.447488,4.47852e-05,4.47852e-05,0,identity
83,0,-0.000632179,0.499842,0.499842,1.87816,0.432862,22,0.829844,-0.946568,1e-12,-0.946568,-0.946568,1e-12,1e-12,0,identity
84,0,0.647272,0.656396,0.656396,1.73314,0.638522,24,0.829844,-1.09299,1e-12,-1.09299,-1.09299,1e-12,1e-12,0.681641,identity
85,0,0.990532,0.729193,0.729193,0.563743,0.853325,22,0.829844,0.088779,0.000178563,0.088779,0.088779,0.000178563,0.000178563,1,identity
86,0,0.9878,0.728653,0.728653,0.586971,0.843347,22,0.829844,-0.793328,1e-12,-0.793328,-0.793328,1e-12,1e-12,1,identity
87,0,0.494222,0.6211,0.6211,2.73645,0.333591,24,0.829844,1.07695,1e-12,1.07695,1.07695,1e-12,1e-12,0.533203,identity
88,0,0.961785,0.723479,0.723479,0.634714,0.776233,22,0.829844,-0.415255,1e-12,-0.415255,-0.415255,1e-12,1e-12,0.966797,identity
89,0,-0.000142197,0.499964,0.499964,1.88341,0.432346,22,0.829844,1.93846,0.000658028,1.93846,1.93846,0.000658028,0.000658028,0,identity
90,0,0.950016,0.721118,0.721118,0.680799,0.743803,22,0.829844,-0.697029,0.000473437,-0.697029,-0.697029,0.000473437,0.000473437,0.953125,identity
91,0,0.98895,0.728881,0.728881,0.577687,0.847563,22,0.829844,-0.786954,1e-12,-0.786954,-0.786954,1e-12,1e-12,1,identity
92,0,0.0189311,0.504733,0.504733,2.06009,0.413903,22,0.829844,-1.08079,1e-12,-1.08079,-1.08079,1e-12,1e-12,0,identity
93,0,0.070064,0.517509,0.517509,2.3772,0.36322,22,0.829844,0.478724,3.37926e-05,0.478724,0.478724,3.37926e-05,3.37926e-05,0.076172,identity
94,0,0.289509,0.571876,0.571876,3.17406,0.146837,22,0.829844,0.640627,3.37905e-05,0.640627,0.640627,3.37905e-05,3.37905e-05,0.263673,identity
95,0,0.987293,0.728553,0.728553,0.590895,0.841482,22,0.829844,-0.618824,0.000172434,-0.618824,-0.618824,0.000172434,0.000172434,1,identity
96,0,0.993028,0.729686,0.729686,0.532762,0.862508,22,0.829844,-0.270525,0.000614416,-0.270525,-0.270525,0.000614416,0.000614416,1,identity
97,0,0.988362,0.728764,0.728764,0.582494,0.845419,22,0.829844,-1.78981,1e-12,-1.78981,-1.78981,1e-12,1e-12,1,identity
98,0,-0.00495289,0.498762,0.498762,1.8308,0.437854,22,0.829844,0.441602,4.47852e-05,0.441602,0.441602,4.47852e-05,4.47852e-05,0,identity
99,0,0.987112,0.728517,0.728517,0.59226,0.840826,22,0.829844,0.503482,1e-12,0.503482,0.503482,1e-12,1e-12,1,identity
100,0,-0.00361979,0.499095,0.499095,1.84554,0.436203,22,0.829844,0.281785,1e-12,0.281785,0.281785,1e-12,1e-12,0,identity
101,0,0.98512,0.728123,0.728123,0.539895,0.840832,22,0.829844,1.36095,0.000426048,1.36095,1.36095,0.000426048,0.000426048,1,identity
102,0,0.921082,0.715263,0.715263,0.780778,0.663928,22,0.829844,1.86099,1e-12,1.86099,1.86099,1e-12,1e-12,0.931641,identity
103,0,0.992891,0.729659,0.729659,0.523696,0.86254,22,0.829844,-0.196568,5.56457e-05,-0.196568,-0.196568,5.56457e-05,5.56457e-05,1,identity
104,0,-0.00997559,0.497506,0.497506,1.77708,0.445662,22,0.829844,-0.246264,1e-12,-0.246264,-0.246264,1e-12,1e-12,0,identity
105,0,0.990114,0.72911,0.72911,0.5676,0.851805,22,0.829844,-0.62205,1e-12,-0.62205,-0.62205,1e-12,1e-12,1,identity
106,0,0.988073,0.728707,0.728707,0.52971,0.849106,22,0.829844,0.454924,0.00039391,0.454924,0.454924,0.00039391,0.00039391,0.998046,identity
107,0,0.990393,0.729166,0.729166,0.523409,0.855635,22,0.829844,1.75993,1e-12,1.75993,1.75993,1e-12,1e-12,1,identity
108,0,0.0212497,0.505312,0.505312,2.07845,0.411655,22,0.829844,1.10668,1e-12,1.10668,1.10668,1e-12,1e-12,0.037267,identity
109,0,0.096619,0.524136,0.524136,2.49894,0.336408,22,0.829844,0.556238,1e-12,0.556238,0.556238,1e-12,1e-12,0.097656,identity
110,0,0.992179,0.729518,0.729518,0.546399,0.859304,22,0.829844,-1.27529,1e-12,-1.27529,-1.27529,1e-12,1e-12,1,identity
111,0,-0.00248771,0.499378,0.499378,1.85797,0.434889,22,0.829844,1.25212,1e-12,1.25212,1.25212,1e-12,1e-12,0,identity
112,0,0.991311,0.729347,0.729347,0.556077,0.856158,22,0.829844,-0.864847,1e-12,-0.864847,-0.864847,1e-12,1e-12,1,identity
113,0,0.00277876,0.500695,0.500695,1.91393,0.429387,22,0.829844,-1.41771,1e-12,-1.41771,-1.41771,1e-12,1e-12,0,identity
114,0,0.988457,0.728783,0.728783,0.528519,0.850186,22,0.829844,-1.51783,0.000424667,-1.51783,-1.51783,0.000424667,0.000424667,1,identity
115,0,0.990574,0.729201,0.729201,0.563339,0.853482,22,0.829844,-0.14106,1e-12,-0.14106,-0.14106,1e-12,1e-12,1,identity
116,0,0.990199,0.729127,0.729127,0.566818,0.85212,22,0.829844,-1.35364,1e-12,-1.35364,-1.35364,1e-12,1e-12,1,identity
117,0,-0.0107661,0.497309,0.497309,1.76935,0.447198,22,0.829844,1.7316,1e-12,1.7316,1.7316,1e-12,1e-12,0,identity
118,0,0.0894348,0.522344,0.522344,2.46753,0.343711,22,0.829844,-0.115953,0.000487075,-0.115953,-0.115953,0.000487075,0.000487075,0.074217,identity
119,0,0.908618,0.712717,0.712717,0.818141,0.629507,22,0.829844,0.722291,6.28152e-05,0.722291,0.722291,6.28152e-05,6.28152e-05,0.906251,identity
120,0,0.27604,0.568575,0.568575,3.14681,0.158998,22,0.829844,-1.64379,1e-12,-1.64379,-1.64379,1e-12,1e-12,0.246094,identity
121,0,-0.00983084,0.497542,0.497542,1.77853,0.445391,22,0.829844,-1.75841,8.74281e-05,-1.75841,-1.75841,8.74281e-05,8.74281e-05,0,identity
122,0,-0.00653993,0.498365,0.498365,1.81326,0.440004,22,0.829844,-0.492622,1e-12,-0.492622,-0.492622,1e-12,1e-12,0,identity
123,0,-0.00277836,0.499305,0.499305,1.85481,0.43522,22,0.829844,0.024411,1e-12,0.024411,0.024411,1e-12,1e-12,0,identity
124,0,-0.00767001,0.498083,0.498083,1.80097,0.441692,22,0.829844,-0.342685,0.000137705,-0.342685,-0.342685,0.000137705,0.000137705,0,identity
125,0,0.00263129,0.500658,0.500658,1.91241,0.429537,22,0.829844,-1.59527,1.51687e-05,-1.59527,-1.59527,1.51687e-05,1.51687e-05,0,identity
126,0,0.842491,0.69899,0.69899,0.974307,0.507916,24,0.829844,0.798133,0.000379936,0.798133,0.798133,0.000379936,0.000379936,0.867187,identity
127,0,-0.0090919,0.497727,0.497727,1.78601,0.444052,22,0.829844,1.13197,1e-12,1.13197,1.13197,1e-12,1e-12,0,identity
128,0,0.983639,0.72783,0.72783,0.545457,0.836691,22,0.829844,-1.84217,1e-12,-1.84217,-1.84217,1e-12,1e-12,1,identity
129,0,-0.010389,0.497403,0.497403,1.77301,0.446455,22,0.829844,-0.673307,1e-12,-0.673307,-0.673307,1e-12,1e-12,0,identity
130,0,-0.0112166,0.497196,0.497196,1.76505,0.448114,22,0.829844,1.93663,1e-12,1.93663,1.93663,1e-12,1e-12,0,identity
131,0,-0.00573737,0.498566,0.498566,1.82206,0.438883,22,0.829844,-1.72369,1e-12,-1.72369,-1.72369,1e-12,1e-12,0,identity
132,0,0.993084,0.729697,0.729697,0.526512,0.86296,22,0.829844,0.749386,1e-12,0.749386,0.749386,1e-12,1e-12,1,identity
133,0,-0.00888241,0.497779,0.497779,1.78818,0.443687,22,0.829844,-1.16135,1e-12,-1.16135,-1.16135,1e-12,1e-12,0,identity
134,0,0.992038,0.72949,0.72949,0.548098,0.858792,22,0.829844,-0.926431,1e-12,-0.926431,-0.926431,1e-12,1e-12,1,identity
135,0,0.988852,0.728861,0.728861,0.578509,0.8472,22,0.829844,-0.512114,0.000124627,-0.512114,-0.512114,0.000124627,0.000124627,1,identity
136,0,0.0134484,0.503362,0.503362,2.01434,0.419158,22,0.829844,0.425716,1e-12,0.425716,0.425716,1e-12,1e-12,0,identity
137,0,-0.0109557,0.497261,0.497261,1.76754,0.447581,22,0.829844,-1.41985,1e-12,-1.41985,-1.41985,1e-12,1e-12,0,identity
138,0,-0.00778138,0.498055,0.498055,1.79977,0.441867,22,0.829844,-0.214529,1e-12,-0.214529,-0.214529,1e-12,1e-12,0,identity
139,0,0.61016,0.647977,0.647977,1.99589,0.567107,24,0.829844,-1.37082,0.000150547,-1.37082,-1.37082,0.000150547,0.000150547,0.576172,identity
140,0,0.664028,0.660165,0.660165,1.61647,0.66551,24,0.829844,-0.590634,3.81421e-06,-0.590634,-0.590634,3.81421e-06,3.81421e-06,0.664063,identity
141,0,0.00178394,0.500446,0.500446,1.90368,0.430377,22,0.829844,0.834668,1e-12,0.834668,0.834668,1e-12,1e-12,0,identity
142,0,0.604707,0.646732,0.646732,2.03395,0.555897,24,0.829844,-1.81975,0.000283837,-1.81975,-1.81975,0.000283837,0.000283837,0.578125,identity
143,0,-0.00618824,0.498453,0.498453,1.81715,0.439509,22,0.829844,-0.789018,0.000172441,-0.789018,-0.789018,0.000172441,0.000172441,0,identity
144,0,-0.0103726,0.497407,0.497407,1.77313,0.446418,22,0.829844,-1.17245,1e-12,-1.17245,-1.17245,1e-12,1e-12,0,identity
145,0,-0.00435324,0.498912,0.498912,1.83742,0.437095,22,0.829844,0.495297,1e-12,0.495297,0.495297,1e-12,1e-12,0,identity
146,0,-0.00768367,0.498079,0.498079,1.80086,0.441718,22,0.829844,1.3458,1e-12,1.3458,1.3458,1e-12,1e-12,0,identity
147,0,0.687182,0.66534,0.66534,1.46546,0.693046,24,0.829844,1.75138,1e-12,1.75138,1.75138,1e-12,1e-12,0.681641,identity
148,0,0.79232,0.688329,0.688329,1.07263,0.616235,24,0.829844,-0.895051,1e-12,-0.895051,-0.895051,1e-12,1e-12,0.802734,identity
149,0,0.0593618,0.514836,0.514836,2.32219,0.373999,22,0.829844,0.014594,1e-12,0.014594,0.014594,1e-12,1e-12,0.041016,identity
150,0,0.146934,0.536668,0.536668,2.70121,0.285566,22,0.829844,1.62416,1e-12,1.62416,1.62416,1e-12,1e-12,0.134766,identity
151,0,0.96091,0.723304,0.723304,0.638237,0.773818,22,0.829844,1.64534,1e-12,1.64534,1.64534,1e-12,1e-12,0.982421,identity
152,0,0.991445,0.729373,0.729373,0.554687,0.856641,22,0.829844,-0.599976,1e-12,-0.599976,-0.599976,1e-12,1e-12,1,identity
153,0,-0.00416622,0.498958,0.498958,1.83947,0.436862,22,0.829844,1.91346,0.000134454,1.91346,1.91346,0.000134454,0.000134454,0,identity
154,0,-0.00388459,0.499029,0.499029,1.84261,0.436521,22,0.829844,1.03977,1e-12,1.03977,1.03977,1e-12,1e-12,0,identity
155,0,0.990304,0.729148,0.729148,0.565869,0.852495,22,0.829844,-0.657142,1e-12,-0.657142,-0.657142,1e-12,1e-12,1,identity
156,0,0.137642,0.534356,0.534356,2.6649,0.294974,22,0.829844,0.755151,0.000487971,0.755151,0.755151,0.000487971,0.000487971,0.13086,identity
157,0,-0.0111931,0.497202,0.497202,1.7653,0.448068,22,0.829844,-1.35868,0.000166257,-1.35868,-1.35868,0.000166257,0.000166257,0,identity
158,0,0.987067,0.728508,0.728508,0.533003,0.846285,22,0.829844,-0.091015,0.000363071,-0.091015,-0.091015,0.000363071,0.000363071,0.996093,identity
159,0,0.973261,0.725769,0.725769,0.587563,0.807905,22,0.829844,-1.56501,1e-12,-1.56501,-1.56501,1e-12,1e-12,1,identity
160,0,0.988998,0.72889,0.72889,0.57728,0.847743,22,0.829844,0.074278,1e-12,0.074278,0.074278,1e-12,1e-12,1,identity
161,0,-0.0106132,0.497347,0.497347,1.77084,0.446896,22,0.829844,-0.596606,1e-12,-0.596606,-0.596606,1e-12,1e-12,0,identity
162,0,0.992301,0.729542,0.729542,0.521617,0.860973,22,0.829844,1.13279,1e-12,1.13279,1.13279,1e-12,1e-12,1,identity
163,0,0.985808,0.728259,0.728259,0.537384,0.842755,22,0.829844,0.959892,1e-12,0.959892,0.959892,1e-12,1e-12,0.998046,identity
164,0,0.991562,0.729396,0.729396,0.553467,0.857055,22,0.829844,1.24267,1e-12,1.24267,1.24267,1e-12,1e-12,1,identity
165,0,0.0411918,0.510296,0.510296,2.21735,0.392142,22,0.829844,-0.737381,0.000225386,-0.737381,-0.737381,0.000225386,0.000225386,0.033202,identity
166,0,0.427839,0.605357,0.605357,3.05733,0.227619,24,0.829844,-0.574549,1e-12,-0.574549,-0.574549,1e-12,1e-12,0.427734,identity
167,0,-0.0100933,0.497477,0.497477,1.7759,0.445883,22,0.829844,-0.045928,1e-12,-0.045928,-0.045928,1e-12,1e-12,0,identity
168,0,0.992488,0.729579,0.729579,0.542359,0.86044,22,0.829844,1.29296,1e-12,1.29296,1.29296,1e-12,1e-12,1,identity
169,0,0.244209,0.560751,0.560751,3.06112,0.188898,22,0.829844,-1.81835,1e-12,-1.81835,-1.81835,1e-12,1e-12,0.246652,identity
170,0,0.984227,0.727946,0.727946,0.543219,0.838335,22,0.829844,-1.51606,1e-12,-1.51606,-1.51606,1e-12,1e-12,0.992187,identity
171,0,-0.00122835,0.499693,0.499693,1.87172,0.4335,22,0.829844,1.14879,1e-12,1.14879,1.14879,1e-12,1e-12,0,identity
172,0,0.991003,0.729286,0.729286,0.559194,0.855038,22,0.829844,1.58103,1e-12,1.58103,1.58103,1e-12,1e-12,1,identity
173,0,-0.00883652,0.497791,0.497791,1.78864,0.443607,22,0.829844,-1.6055,1e-12,-1.6055,-1.6055,1e-12,1e-12,0,identity
174,0,-0.00541345,0.498647,0.498647,1.8257,0.438455,22,0.829844,-0.395626,1e-12,-0.395626,-0.395626,1e-12,1e-12,0,identity
175,0,0.434774,0.607013,0.607013,3.03062,0.237353,24,0.829844,0.551993,1e-12,0.551993,0.551993,1e-12,1e-12,0.414063,identity
176,0,0.576223,0.640198,0.640198,2.22797,0.496433,24,0.829844,-1.25606,1e-12,-1.25606,-1.25606,1e-12,1e-12,0.582031,identity
177,0,0.989714,0.729031,0.729031,0.571175,0.850342,22,0.829844,-0.771137,1e-12,-0.771137,-0.771137,1e-12,1e-12,1,identity
178,0,-0.00953422,0.497616,0.497616,1.78148,0.444841,22,0.829844,1.45759,1e-12,1.45759,1.45759,1e-12,1e-12,0,identity
179,0,0.594473,0.644391,0.644391,2.1047,0.534621,24,0.829844,-0.402007,1e-12,-0.402007,-0.402007,1e-12,1e-12,0.615885,identity
180,0,0.0282793,0.507069,0.507069,2.13099,0.404857,22,0.829844,1.24508,1e-12,1.24508,1.24508,1e-12,1e-12,0.013672,identity
181,0,-0.0111348,0.497216,0.497216,1.76584,0.447947,22,0.829844,1.97168,1e-12,1.97168,1.97168,1e-12,1e-12,0,identity
